市場,順位,順位変動,前日順位,コード,銘柄名,現在値,前日比,前日比%,寄付からの値上がり率
"東証プライム","1","NEW","","5801","古河電工","4,000.0","+375.0","+10.34%","9.48%"
"東証プライム","2","NEW","","4062","イビデン","19,980.0","+1,185.0","+6.30%","7.93%"
"東証プライム","3","↑5","8","2737","トーメンデバ","31,950.0","+1,800.0","+5.97%","6.73%"
"東証プライム","4","NEW","","6958","ＣＭＫ","750.0","+53.0","+7.60%","6.53%"
"東証プライム","5","↑17","22","7826","フルヤ金属","8,900.0","+550.0","+6.59%","6.29%"
"東証プライム","6","NEW","","7721","東京計器","7,190.0","+320.0","+4.66%","5.84%"
"東証プライム","7","NEW","","6961","エンプラス","10,290.0","+290.0","+2.90%","5.73%"
"東証プライム","8","NEW","","6490","ＰＩＬＬＡＲ","10,300.0","+470.0","+4.78%","5.73%"
"東証プライム","9","NEW","","5803","フジクラ","5,292.0","+276.0","+5.50%","5.61%"
"東証プライム","10","↓8","2","8237","松屋","2,864.0","+162.0","+6.00%","5.55%"
"東証プライム","11","NEW","","6480","日トムソン","1,797.0","+85.0","+4.96%","5.45%"
"東証プライム","12","NEW","","6871","日マイクロニクス","13,870.0","+300.0","+2.21%","4.97%"
"東証プライム","13","↓12","1","6330","洋エンジ","2,630.0","+134.0","+5.37%","4.94%"
"東証プライム","14","NEW","","5805","ＳＷＣＣ","14,210.0","+730.0","+5.42%","4.86%"
"東証プライム","15","NEW","","7184","富山第一銀行","3,250.0","+150.0","+4.84%","4.77%"
"東証プライム","16","NEW","","7762","シチズン時計","2,705.0","+109.0","+4.20%","4.77%"
"東証プライム","17","NEW","","7504","高速","4,970.0","+240.0","+5.07%","4.73%"
"東証プライム","18","NEW","","6779","日電波","2,814.0","+107.0","+3.95%","4.73%"
"東証プライム","19","NEW","","4004","レゾナックＨＤ","16,180.0","+405.0","+2.57%","4.70%"
"東証プライム","20","NEW","","6787","メイコー","17,990.0","+930.0","+5.45%","4.67%"
"東証プライム","21","NEW","","6440","ＪＵＫＩ","641.0","+32.0","+5.25%","4.37%"
"東証プライム","22","NEW","","6323","ローツェ","4,059.0","+106.0","+2.68%","4.34%"
"東証プライム","23","NEW","","6140","旭ダイヤ","1,232.0","+57.0","+4.85%","4.30%"
"東証プライム","24","NEW","","6387","サムコ","8,880.0","+180.0","+2.07%","4.28%"
"東証プライム","25","NEW","","6525","ＫＯＫＵＳＡＩ","8,489.0","+209.0","+2.52%","4.23%"
"東証プライム","26","NEW","","2413","エムスリー","1,750.0","+30.5","+1.77%","4.03%"
"東証プライム","27","NEW","","3445","ＲＳＴＥＣＨ","5,570.0","+140.0","+2.58%","3.95%"
"東証プライム","28","↓4","24","6058","ベクトル","2,027.0","+74.0","+3.79%","3.80%"
"東証プライム","29","NEW","","6266","タツモ","3,565.0","+95.0","+2.74%","3.79%"
"東証プライム","30","NEW","","7729","東精密","18,010.0","+415.0","+2.36%","3.75%"
"東証プライム","31","NEW","","3104","富士紡ＨＤ","3,490.0","+100.0","+2.95%","3.72%"
